OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
1,2017/02/02 00:00:00+00,0720,3,Slight,LC,Loss of Control,2,2,0,1,1,0,0,360035,175918,CYC
2,2017/02/02 00:00:00+00,1803,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,359039,172053,CYC
3,2017/02/03 00:00:00+00,2021,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,362596,175377,CYC
4,2017/02/03 00:00:00+00,1543,3,Slight,NT,Nose to Tail,2,2,0,0,0,0,0,355175,175088,CARS
5,2017/01/17 00:00:00+00,0624,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,359476,172742,A
6,2017/02/04 00:00:00+00,1730,3,Slight,A,Adult pedestrian,1,1,1,0,1,0,0,359343,169627,A
7,2017/02/08 00:00:00+00,0805,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,359375,172970,CYC
8,2017/02/14 00:00:00+00,0650,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,359674,171459,CYC
9,2017/02/15 00:00:00+00,0810,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,361579,170924,MCYC
10,2017/02/18 00:00:00+00,1221,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,1,363277,175727,CARS
11,2017/02/23 00:00:00+00,1240,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,359111,172368,A
12,2017/02/05 00:00:00+00,1957,3,Slight,HO,Head On,2,1,0,0,0,0,0,362415,172387,CARS
13,2017/01/11 00:00:00+00,2310,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,362192,171231,A
14,2017/02/17 00:00:00+00,0720,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,359715,173722,CYC
15,2017/02/22 00:00:00+00,1940,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,360257,172554,A
16,2017/02/07 00:00:00+00,1500,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,360906,173366,MCYC
17,2017/02/07 00:00:00+00,1639,3,Slight,NT,Nose to Tail,4,3,0,0,0,0,0,360969,170037,CARS
18,2017/02/07 00:00:00+00,1520,3,Slight,LC,Loss of Control,1,1,0,0,1,0,0,357580,170691,MCYC
19,2017/02/08 00:00:00+00,2150,3,Slight,NT,Nose to Tail,2,2,0,0,0,0,0,361173,171978,CARS
